onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
18.501497292	3.0	Pos	encoding	98	0.98	0.9757709251101322	2.344394858000669	0.30613470199932635	0	0	0
23.501920782	3.0	Pos	marking	98	0.98	0.9757709251101322	2.344394858000669	0.30613470199932635	0	0	0
31.001519359	3.0	Pos	encoding	45	0.45	0.473568281938326	2.2293644400015182	0.46541853100097796	0	0	0
38.002063079	3.0	Pos	marking	45	0.45	0.473568281938326	2.2293644400015182	0.46541853100097796	0	0	0
46.501992942	3.0	Pos	encoding	90	0.9	0.8832599118942731	2.2128468490009254	0.3919268989993725	0	0	0
51.002519807	3.0	Pos	marking	90	0.9	0.8832599118942731	2.2128468490009254	0.3919268989993725	0	0	0
60.001288499	3.0	Pos	encoding	3	0.03	0.030837004405286344	2.2592984279999655	0.38104436399953556	0	0	0
63.003162597	3.0	Pos	marking	3	0.03	0.030837004405286344	2.2592984279999655	0.38104436399953556	0	0	0
70.502108984	3.0	Pos	encoding	33	0.33	0.29515418502202645	1.9281425489989488	0.44391572899985476	0	0	0
76.503364829	3.0	Pos	marking	33	0.33	0.29515418502202645	1.9281425489989488	0.44391572899985476	0	0	0
82.500900075	3.0	Pos	encoding	28	0.28	0.0	NaN	0.927471807000984	0	0	0
86.003757911	3.0	Pos	marking	28	0.28	0.0	NaN	0.927471807000984	1	0	0
93.000770698	3.0	Pos	encoding	60	0.6	0.579295154185022	2.0759435250001843	0.41615716100022837	0	0	0
97.504124288	3.0	Pos	marking	60	0.6	0.579295154185022	2.0759435250001843	0.41615716100022837	0	0	0
104.001220196	3.0	Pos	encoding	57	0.57	0.5925110132158591	1.9777042370005802	0.4631463530004112	0	0	0
107.504229281	3.0	Pos	marking	57	0.57	0.5925110132158591	1.9777042370005802	0.4631463530004112	0	0	0
114.000894832	3.0	Pos	encoding	21	0.21	0.1894273127753304	2.161318566000773	0.4117880720004905	0	0	0
118.004492178	3.0	Pos	marking	21	0.21	0.1894273127753304	2.161318566000773	0.4117880720004905	0	0	0
125.002451406	3.0	Pos	encoding	74	0.74	0.0	NaN	0.5622280769985082	0	0	0
128.004762685	3.0	Pos	marking	74	0.74	0.0	NaN	0.5622280769985082	1	0	0
135.502183851	3.0	Pos	encoding	7	0.07	0.0	NaN	0.4357847960000072	0	0	0
139.505256226	3.0	Pos	marking	7	0.07	0.0	NaN	0.4357847960000072	1	0	0
146.501925757	3.0	Pos	encoding	65	0.65	0.6453744493392071	2.1620464400002675	0.40060666499994113	0	0	0
152.005417528	3.0	Pos	marking	65	0.65	0.6453744493392071	2.1620464400002675	0.40060666499994113	0	0	0
160.001070766	3.0	Pos	encoding	11	0.11	0.14977973568281938	2.36093747599989	0.37129659300080675	0	0	0
164.005684646	3.0	Pos	marking	11	0.11	0.14977973568281938	2.36093747599989	0.37129659300080675	0	0	0
170.001077777	3.0	Pos	encoding	77	0.77	0.0	NaN	0.42004563599948597	0	0	0
174.506252117	3.0	Pos	marking	77	0.77	0.0	NaN	0.42004563599948597	1	0	0
181.001275349	3.0	Pos	encoding	85	0.85	0.8436123348017621	2.2760543179992965	0.39378207699883205	0	0	0
184.506490004	3.0	Pos	marking	85	0.85	0.8436123348017621	2.2760543179992965	0.39378207699883205	0	0	0
194.50108087	3.0	Pos	encoding	36	0.36	0.28854625550660795	2.375019607001377	0.35568755300118937	0	0	0
201.006970608	3.0	Pos	marking	36	0.36	0.28854625550660795	2.375019607001377	0.35568755300118937	0	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
217.001612781	3.0	Word	encoding	is	0.85	0.8436123348017621	2.0595812540013867	0.3712190850001207	0	0	0
223.507459365	3.0	Word	marking	is	0.85	0.8436123348017621	2.0595812540013867	0.3712190850001207	0	0	0
230.001838049	3.0	Word	encoding	if	0.07	0.07709251101321586	1.97783710099975	0.36172387000078743	0	0	0
236.007790759	3.0	Word	marking	if	0.07	0.07709251101321586	1.97783710099975	0.36172387000078743	0	0	0
243.002384162	3.0	Word	encoding	am	0.74	0.0	NaN	0.7318863010004861	0	0	0
246.007958951	3.0	Word	marking	am	0.74	0.0	NaN	0.7318863010004861	1	0	0
254.502250358	3.0	Word	encoding	of	0.33	0.32158590308370044	1.9426746999997704	0.39298221900025965	0	0	0
261.508634125	3.0	Word	marking	of	0.33	0.32158590308370044	1.9426746999997704	0.39298221900025965	0	0	0
269.000865455	3.0	Word	encoding	me	0.98	1.0	2.1429532509991986	0.4006718870004988	0	0	0
273.008909027	3.0	Word	marking	me	0.98	1.0	2.1429532509991986	0.4006718870004988	0	0	0
279.501980133	3.0	Word	encoding	or	0.28	0.2753303964757709	2.144643224999527	0.48361272900001495	0	0	0
283.509059544	3.0	Word	marking	or	0.28	0.2753303964757709	2.144643224999527	0.48361272900001495	1	0	0
290.002162936	3.0	Word	encoding	he	0.03	0.037444933920704845	2.5920770230004564	0.41474169100001745	0	0	0
293.509520721	3.0	Word	marking	he	0.03	0.037444933920704845	2.5920770230004564	0.41474169100001745	0	0	0
301.501607901	3.0	Word	encoding	be	0.9	0.9030837004405287	1.94250875599937	0.3496860849991208	0	0	0
307.009816971	3.0	Word	marking	be	0.9	0.9030837004405287	1.94250875599937	0.3496860849991208	0	0	0
316.501626254	3.0	Word	encoding	by	0.36	0.0	NaN	0.4348841610008094	0	0	0
321.01013771	3.0	Word	marking	by	0.36	0.0	NaN	0.4348841610008094	1	0	0
330.000954566	3.0	Word	encoding	so	0.45	0.44052863436123346	1.8758607349991507	0.7438638069997978	0	0	0
333.010595941	3.0	Word	marking	so	0.45	0.44052863436123346	1.8758607349991507	0.7438638069997978	0	0	0
340.502022529	3.0	Word	encoding	do	0.21	0.21585903083700442	1.9115047279992723	0.37180970500048716	0	0	0
345.010716214	3.0	Word	marking	do	0.21	0.21585903083700442	1.9115047279992723	0.37180970500048716	0	0	0
351.001000097	3.0	Word	encoding	it	0.11	0.11013215859030837	1.8260248730002786	0.354154931001176	0	0	0
354.511193426	3.0	Word	marking	it	0.11	0.11013215859030837	1.8260248730002786	0.354154931001176	0	0	0
361.501804784	3.0	Word	encoding	as	0.57	0.566079295154185	1.7095615100006398	0.3163425040002039	0	0	0
366.51136275	3.0	Word	marking	as	0.57	0.566079295154185	1.7095615100006398	0.3163425040002039	0	0	0
374.001709434	3.0	Word	encoding	my	0.77	0.7775330396475771	1.892721899001117	0.4125819399996544	0	0	0
377.511789316	3.0	Word	marking	my	0.77	0.7775330396475771	1.892721899001117	0.4125819399996544	0	0	0
384.501712328	3.0	Word	encoding	we	0.65	0.6453744493392071	1.8263066090003122	0.4044251439991058	0	0	0
389.012058129	3.0	Word	marking	we	0.65	0.6453744493392071	1.8263066090003122	0.4044251439991058	0	0	0
395.001163561	3.0	Word	encoding	ox	0.6	0.0	NaN	0.3584545089997846	0	0	0
399.012227657	3.0	Word	marking	ox	0.6	0.0	NaN	0.3584545089997846	1	0	0
402.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
412.501715259	3.0	Neg	encoding	80	0.9	0.0	NaN	0.39019031499992707	0	0	0
417.512885034	3.0	Neg	marking	80	0.9	0.0	NaN	0.39019031499992707	1	0	0
424.502154237	3.0	Neg	encoding	30	0.65	0.0	NaN	0.42895472800046264	0	0	0
430.013089386	3.0	Neg	marking	30	0.65	0.0	NaN	0.42895472800046264	1	0	0
438.001016381	3.0	Neg	encoding	-44	0.28	0.30176211453744495	2.0259625390008296	0.4588037030007399	0	0	0
442.013568464	3.0	Neg	marking	-44	0.28	0.30176211453744495	2.0259625390008296	0.4588037030007399	0	0	0
448.501975199	3.0	Neg	encoding	-86	0.07	0.0	NaN	0.7438934210003936	0	0	0
