onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
18.001537912	3.0	Neg	encoding	-10	0.45	0.42731277533039647	1.7588102139998227	0.3698167399998056	0	0	0
22.010546071	3.0	Neg	marking	-10	0.45	0.42731277533039647	1.7588102139998227	0.3698167399998056	0	0	0
28.001901859	3.0	Neg	encoding	-34	0.33	0.0	NaN	0.5545759149990772	0	0	0
32.510865438	3.0	Neg	marking	-34	0.33	0.0	NaN	0.5545759149990772	1	0	0
39.502174658	3.0	Neg	encoding	-28	0.36	0.36784140969163	2.258976507000625	0.3623141560001386	0	0	0
45.011147276	3.0	Neg	marking	-28	0.36	0.36784140969163	2.258976507000625	0.3623141560001386	0	0	0
53.501441308	3.0	Neg	encoding	80	0.9	0.8502202643171806	2.2591064180014655	0.37824725400059833	0	0	0
57.01151439	3.0	Neg	marking	80	0.9	0.8502202643171806	2.2591064180014655	0.37824725400059833	0	0	0
64.501250678	3.0	Neg	encoding	-94	0.03	0.07048458149779736	2.242648413999632	0.4726986730001954	0	0	0
67.511761445	3.0	Neg	marking	-94	0.03	0.07048458149779736	2.242648413999632	0.4726986730001954	0	0	0
77.501216126	3.0	Neg	encoding	54	0.77	0.5594713656387665	2.5254738059993542	0.42337804999988293	0	1	0
80.5121552	3.0	Neg	marking	54	0.77	0.5594713656387665	2.5254738059993542	0.42337804999988293	0	1	0
87.002392317	3.0	Neg	encoding	30	0.65	0.6453744493392071	2.075834503000806	0.37797315700117906	0	0	0
94.01251327	3.0	Neg	marking	30	0.65	0.6453744493392071	2.075834503000806	0.37797315700117906	0	0	0
102.002308467	3.0	Neg	encoding	-58	0.21	0.0	NaN	0.5568838609997329	0	0	0
105.512675023	3.0	Neg	marking	-58	0.21	0.0	NaN	0.5568838609997329	1	0	0
112.502350491	3.0	Neg	encoding	96	0.98	0.0	NaN	0.4183242449998943	0	0	0
117.013012631	3.0	Neg	marking	96	0.98	0.0	NaN	0.4183242449998943	1	0	0
123.501614905	3.0	Neg	encoding	48	0.74	0.7841409691629956	2.592521245000171	0.5022993969996605	0	0	0
128.013491081	3.0	Neg	marking	48	0.74	0.7841409691629956	2.592521245000171	0.5022993969996605	0	0	0
135.501307199	3.0	Neg	encoding	-78	0.11	0.16299559471365638	2.292641617999834	0.37889801199889916	0	0	0
142.01385392	3.0	Neg	marking	-78	0.11	0.16299559471365638	2.292641617999834	0.37889801199889916	0	0	0
148.501714298	3.0	Neg	encoding	-86	0.07	0.10352422907488987	2.3950042739998025	0.5270462889984628	0	0	0
152.513987695	3.0	Neg	marking	-86	0.07	0.10352422907488987	2.3950042739998025	0.5270462889984628	0	0	0
160.00117542	3.0	Neg	encoding	14	0.57	0.5859030837004405	1.679247784000836	0.32261970000035944	0	0	0
166.014117145	3.0	Neg	marking	14	0.57	0.5859030837004405	1.679247784000836	0.32261970000035944	0	0	0
175.501776163	3.0	Neg	encoding	-44	0.28	0.2422907488986784	1.9264050479996513	0.4600595470001281	0	0	0
179.514815216	3.0	Neg	marking	-44	0.28	0.2422907488986784	1.9264050479996513	0.4600595470001281	0	0	0
185.502252638	3.0	Neg	encoding	70	0.85	0.7841409691629956	1.9599979869999515	0.3610505809992901	0	0	0
190.514981454	3.0	Neg	marking	70	0.85	0.7841409691629956	1.9599979869999515	0.3610505809992901	0	0	0
197.501054254	3.0	Neg	encoding	20	0.6	0.0	NaN	0.37204662099975394	0	0	0
201.015286008	3.0	Neg	marking	20	0.6	0.0	NaN	0.37204662099975394	1	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
216.502041524	3.0	Word	encoding	he	0.74	0.7444933920704846	1.5961909149991698	0.3369920359982643	0	0	0
222.015785993	3.0	Word	marking	he	0.74	0.7444933920704846	1.5961909149991698	0.3369920359982643	0	0	0
228.002045825	3.0	Word	encoding	my	0.21	0.0	NaN	0.4802901319999364	0	0	0
235.016295452	3.0	Word	marking	my	0.21	0.0	NaN	0.4802901319999364	1	0	0
242.501545237	3.0	Word	encoding	ox	0.98	0.0	NaN	0.392790927000533	0	0	0
246.016614167	3.0	Word	marking	ox	0.98	0.0	NaN	0.392790927000533	1	0	0
253.501978944	3.0	Word	encoding	it	0.77	0.7841409691629956	2.3286073869985557	0.35105146699970646	0	0	0
