onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
16.004240941	3.0	Word	encoding	ox	0.57	0.5726872246696035	1.7093494299997474	0.4439093450000655	0	0	0
22.010514162	3.0	Word	marking	ox	0.57	0.5726872246696035	1.7093494299997474	0.4439093450000655	0	0	0
28.502868503	3.0	Word	encoding	be	0.98	0.0	NaN	0.4346776370002772	0	0	0
31.510848801	3.0	Word	marking	be	0.98	0.0	NaN	0.4346776370002772	1	0	0
37.503029516	3.0	Word	encoding	am	0.11	0.0	NaN	0.47640405499987537	0	0	0
42.01112579	3.0	Word	marking	am	0.11	0.0	NaN	0.47640405499987537	1	0	0
49.005003683	3.0	Word	encoding	do	0.74	0.7312775330396476	2.6969682950002607	0.4353510250002728	0	0	0
54.028127068	3.0	Word	marking	do	0.74	0.7312775330396476	2.6969682950002607	0.4353510250002728	0	0	0
62.503548931	3.0	Word	encoding	so	0.07	0.0	NaN	0.35165061700081424	0	0	0
69.011901364	3.0	Word	marking	so	0.07	0.0	NaN	0.35165061700081424	1	0	0
78.502359383	3.0	Word	encoding	of	0.28	0.28193832599118945	2.259370499000397	0.6321823329999461	0	0	0
82.512156384	3.0	Word	marking	of	0.28	0.28193832599118945	2.259370499000397	0.6321823329999461	0	0	0
91.502026598	3.0	Word	encoding	as	0.77	0.7577092511013216	2.5304327900003045	0.7997423380002147	0	0	0
97.012685079	3.0	Word	marking	as	0.77	0.7577092511013216	2.5304327900003045	0.7997423380002147	0	0	0
103.002491058	3.0	Word	encoding	by	0.9	0.8964757709251101	2.105211665999377	0.3598762669998905	0	0	0
107.50053894	3.0	Word	marking	by	0.9	0.8964757709251101	2.105211665999377	0.3598762669998905	0	0	0
117.505052602	3.0	Word	encoding	we	0.33	0.35462555066079293	2.208620448000147	0.3945015549998061	0	0	0
121.013354116	3.0	Word	marking	we	0.33	0.35462555066079293	2.208620448000147	0.3945015549998061	0	0	0
128.502350621	3.0	Word	encoding	me	0.65	0.6519823788546255	1.6940416249999544	0.37294056200062187	0	0	0
133.013474931	3.0	Word	marking	me	0.65	0.6519823788546255	1.6940416249999544	0.37294056200062187	0	0	0
141.00501781	3.0	Word	encoding	if	0.45	0.44713656387665196	1.8101906680003594	0.4172921930003213	0	0	0
144.513834062	3.0	Word	marking	if	0.45	0.44713656387665196	1.8101906680003594	0.4172921930003213	0	0	0
152.004385472	3.0	Word	encoding	my	0.85	0.0	NaN	0.4844112970004062	0	0	0
155.514237822	3.0	Word	marking	my	0.85	0.0	NaN	0.4844112970004062	1	0	0
163.002344895	3.0	Word	encoding	it	0.21	0.2092511013215859	2.6465471450001132	0.576240307000262	0	0	0
167.014459035	3.0	Word	marking	it	0.21	0.2092511013215859	2.6465471450001132	0.576240307000262	0	0	0
173.504546493	3.0	Word	encoding	he	0.6	0.5991189427312775	1.935248818999753	0.28696898899943335	0	0	0
177.514632482	3.0	Word	marking	he	0.6	0.5991189427312775	1.935248818999753	0.28696898899943335	0	0	0
184.002312128	3.0	Word	encoding	is	0.03	0.42070484581497797	1.2337429899998824	0.387882931000604	0	1	0
187.014878727	3.0	Word	marking	is	0.03	0.42070484581497797	1.2337429899998824	0.387882931000604	0	1	0
194.00349964	3.0	Word	encoding	or	0.36	0.36123348017621143	2.0257272669996382	0.36080410099930305	0	0	0
201.015566923	3.0	Word	marking	or	0.36	0.36123348017621143	2.0257272669996382	0.36080410099930305	0	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
214.502787864	3.0	Pos	encoding	57	0.57	0.5859030837004405	2.026597746000334	0.3452069009999832	0	0	0
218.515900013	3.0	Pos	marking	57	0.57	0.5859030837004405	2.026597746000334	0.3452069009999832	0	0	0
