onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
19.001794684	3.0	Pos	encoding	60	0.6	0.5726872246696035	1.9092097689990624	0.5038468889997603	0	0	0
23.500437771	3.0	Pos	marking	60	0.6	0.5726872246696035	1.9092097689990624	0.5038468889997603	0	0	0
30.501490168	3.0	Pos	encoding	98	0.98	0.9823788546255506	2.159313927000767	0.3173222130008071	0	0	0
35.000930476	3.0	Pos	marking	98	0.98	0.9823788546255506	2.159313927000767	0.3173222130008071	0	0	0
41.001567322	3.0	Pos	encoding	36	0.36	0.21585903083700442	2.2590612350013544	0.33500469800128485	0	1	0
48.001235869	3.0	Pos	marking	36	0.36	0.21585903083700442	2.2590612350013544	0.33500469800128485	0	1	0
55.000876803	3.0	Pos	encoding	77	0.77	0.8502202643171806	2.210823872999754	0.4084516849998181	0	0	0
60.501425672	3.0	Pos	marking	77	0.77	0.8502202643171806	2.210823872999754	0.4084516849998181	0	0	0
67.001758038	3.0	Pos	encoding	74	0.74	0.8700440528634361	2.345470711999951	0.7122144370005117	0	1	0
70.001737431	3.0	Pos	marking	74	0.74	0.8700440528634361	2.345470711999951	0.7122144370005117	0	1	0
78.000858918	3.0	Pos	encoding	7	0.07	0.0	NaN	0.3972735069983173	0	0	0
83.00206703	3.0	Pos	marking	7	0.07	0.0	NaN	0.3972735069983173	1	0	0
90.501124166	3.0	Pos	encoding	28	0.28	0.14977973568281938	2.0926396880004177	0.4376742469994497	0	1	0
93.502490191	3.0	Pos	marking	28	0.28	0.14977973568281938	2.0926396880004177	0.4376742469994497	0	1	0
102.502217973	3.0	Pos	encoding	45	0.45	0.0	NaN	0.39019029200062505	0	0	0
108.502893563	3.0	Pos	marking	45	0.45	0.0	NaN	0.39019029200062505	1	0	0
117.002051908	3.0	Pos	encoding	90	0.9	0.9427312775330396	2.1757507879992772	0.438929284000551	0	0	0
121.003154231	3.0	Pos	marking	90	0.9	0.9427312775330396	2.1757507879992772	0.438929284000551	0	0	0
128.501961185	3.0	Pos	encoding	65	0.65	0.579295154185022	1.492164914998284	0.3461791149984492	0	0	0
132.503492161	3.0	Pos	marking	65	0.65	0.579295154185022	1.492164914998284	0.3461791149984492	0	0	0
139.501772568	3.0	Pos	encoding	85	0.85	0.0	NaN	0.40398487499987823	0	0	0
144.003552156	3.0	Pos	marking	85	0.85	0.0	NaN	0.40398487499987823	1	0	0
153.501654454	3.0	Pos	encoding	33	0.33	0.1762114537444934	2.50993820199983	0.37744358100098907	0	1	0
157.004094601	3.0	Pos	marking	33	0.33	0.1762114537444934	2.50993820199983	0.37744358100098907	0	1	0
163.502068258	3.0	Pos	encoding	3	0.03	0.5	2.4422299380003096	0.5983331089992134	0	1	0
167.504560215	3.0	Pos	marking	3	0.03	0.5	2.4422299380003096	0.5983331089992134	0	1	0
175.001584436	3.0	Pos	encoding	57	0.57	0.5462555066079295	2.2090856670001813	0.7663854410002386	0	0	0
178.504861294	3.0	Pos	marking	57	0.57	0.5462555066079295	2.2090856670001813	0.7663854410002386	0	0	0
184.501337921	3.0	Pos	encoding	11	0.11	0.0	NaN	0.31154079100087984	0	0	0
191.004758601	3.0	Pos	marking	11	0.11	0.0	NaN	0.31154079100087984	1	0	0
197.502225453	3.0	Pos	encoding	21	0.21	0.15638766519823788	2.1118533440003375	0.4706550690007134	0	0	0
201.005294769	3.0	Pos	marking	21	0.21	0.15638766519823788	2.1118533440003375	0.4706550690007134	0	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
216.501414257	3.0	Word	encoding	so	0.21	0.0	NaN	0.3674875279994012	0	0	0
222.505930726	3.0	Word	marking	so	0.21	0.0	NaN	0.3674875279994012	1	0	0
229.500841605	3.0	Word	encoding	as	0.6	0.5991189427312775	1.8428699260002759	0.7209923640002671	0	0	0
232.506340041	3.0	Word	marking	as	0.6	0.5991189427312775	1.8428699260002759	0.7209923640002671	0	0	0
242.500893047	3.0	Word	encoding	me	0.11	0.11674008810572688	2.1756220249990292	0.6086340639994887	0	0	0
246.506702164	3.0	Word	marking	me	0.11	0.11674008810572688	2.1756220249990292	0.6086340639994887	0	0	0
254.50137241	3.0	Word	encoding	or	0.74	0.0	NaN	0.42176932099937403	0	0	0
261.006917124	3.0	Word	marking	or	0.74	0.0	NaN	0.42176932099937403	1	0	0
267.001027518	3.0	Word	encoding	he	0.65	0.6255506607929515	1.8655822549990262	0.42687292699883983	0	0	0
272.507054747	3.0	Word	marking	he	0.65	0.6255506607929515	1.8655822549990262	0.42687292699883983	0	0	0
279.000964031	3.0	Word	encoding	of	0.28	0.28854625550660795	1.8780641930006823	0.41785340900059964	0	0	0
282.507517031	3.0	Word	marking	of	0.28	0.28854625550660795	1.8780641930006823	0.41785340900059964	0	0	0
289.50163439	3.0	Word	encoding	am	0.03	0.030837004405286344	2.4627526799995394	0.6858120260003489	0	0	0
296.507700747	3.0	Word	marking	am	0.03	0.030837004405286344	2.4627526799995394	0.6858120260003489	0	0	0
304.002327469	3.0	Word	encoding	my	0.77	0.0	NaN	0.4489900789994863	0	0	0
307.508380585	3.0	Word	marking	my	0.77	0.0	NaN	0.4489900789994863	1	0	0
315.000983673	3.0	Word	encoding	be	0.33	0.33480176211453744	1.642192822000652	0.3965583740009606	0	0	0
319.508702966	3.0	Word	marking	be	0.33	0.33480176211453744	1.642192822000652	0.3965583740009606	0	0	0
326.002299424	3.0	Word	encoding	we	0.57	0.0	NaN	0.32869342300000426	0	0	0
330.008782877	3.0	Word	marking	we	0.57	0.0	NaN	0.32869342300000426	1	0	0
336.502275921	3.0	Word	encoding	it	0.85	0.8370044052863436	2.5790943360007077	0.5751765280001564	0	0	0
341.008964674	3.0	Word	marking	it	0.85	0.8370044052863436	2.5790943360007077	0.5751765280001564	0	0	0
349.502101086	3.0	Word	encoding	ox	0.98	0.9691629955947136	2.5424805140009994	0.5077524240005005	0	0	0
353.509582493	3.0	Word	marking	ox	0.98	0.9691629955947136	2.5424805140009994	0.5077524240005005	0	0	0
359.501868203	3.0	Word	encoding	by	0.9	0.8832599118942731	2.4256810790011514	0.3320892299998377	0	0	0
364.043238678	3.0	Word	marking	by	0.9	0.8832599118942731	2.4256810790011514	0.3320892299998377	0	0	0
371.002153649	3.0	Word	encoding	do	0.36	0.3744493392070485	1.8282496689989784	0.3985623749995284	0	0	0
374.009990228	3.0	Word	marking	do	0.36	0.3744493392070485	1.8282496689989784	0.3985623749995284	0	0	0
383.001420103	3.0	Word	encoding	if	0.07	0.07709251101321586	2.1958777130003	0.37418068000079074	0	0	0
388.010273714	3.0	Word	marking	if	0.07	0.07709251101321586	2.1958777130003	0.37418068000079074	0	0	0
395.50184895	3.0	Word	encoding	is	0.45	0.460352422907489	1.6599912510009744	0.550900164000268	0	0	0
399.010728221	3.0	Word	marking	is	0.45	0.460352422907489	1.6599912510009744	0.550900164000268	0	0	0
402.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
414.502029551	3.0	Neg	encoding	48	0.74	0.0	NaN	0.36269953599912697	0	0	0
419.011389273	3.0	Neg	marking	48	0.74	0.0	NaN	0.36269953599912697	1	0	0
426.502019097	3.0	Neg	encoding	20	0.6	0.5991189427312775	1.7283480469995993	0.3464292970002134	0	0	0
432.511484348	3.0	Neg	marking	20	0.6	0.5991189427312775	1.7283480469995993	0.3464292970002134	0	0	0
439.002384132	3.0	Neg	encoding	-78	0.11	0.10352422907488987	2.27565940400018	0.4889056200008781	0	0	0
443.011948329	3.0	Neg	marking	-78	0.11	0.10352422907488987	2.27565940400018	0.4889056200008781	0	0	0
450.501809988	3.0	Neg	encoding	54	0.77	0.737885462555066	2.192146491999665	0.3587629100002232	0	0	0
455.012386891	3.0	Neg	marking	54	0.77	0.737885462555066	2.192146491999665	0.3587629100002232	0	0	0
461.001576797	3.0	Neg	encoding	30	0.65	0.6123348017621145	1.525617997000154	0.40864528299971425	0	0	0
464.512613441	3.0	Neg	marking	30	0.65	0.6123348017621145	1.525617997000154	0.40864528299971425	0	0	0
471.501886079	3.0	Neg	encoding	-58	0.21	0.0	NaN	0.36554060299931734	0	0	0
475.012952632	3.0	Neg	marking	-58	0.21	0.0	NaN	0.36554060299931734	1	0	0
481.502159411	3.0	Neg	encoding	-94	0.03	0.07048458149779736	2.2585556900012307	0.4158129320003354	0	0	0
485.513195754	3.0	Neg	marking	-94	0.03	0.07048458149779736	2.2585556900012307	0.4158129320003354	0	0	0
493.001196817	3.0	Neg	encoding	-34	0.33	0.0	NaN	0.3445216520012764	0	0	0
500.013587428	3.0	Neg	marking	-34	0.33	0.0	NaN	0.3445216520012764	1	0	0
507.001282295	3.0	Neg	encoding	96	0.98	0.0	NaN	0.39050138799939305	0	0	0
510.513873348	3.0	Neg	marking	96	0.98	0.0	NaN	0.39050138799939305	1	0	0
517.502051847	3.0	Neg	encoding	-28	0.36	0.36784140969163	1.7757592079997266	0.580056439001055	0	0	0
520.5141675	3.0	Neg	marking	-28	0.36	0.36784140969163	1.7757592079997266	0.580056439001055	0	0	0
528.502037215	3.0	Neg	encoding	-86	0.07	0.11013215859030837	2.4258093170010397	0.42050319600093644	0	0	0
533.014481549	3.0	Neg	marking	-86	0.07	0.11013215859030837	2.4258093170010397	0.42050319600093644	0	0	0
541.502152516	3.0	Neg	encoding	-44	0.28	0.2422907488986784	2.009233637998477	0.318180663000021	0	0	0
545.514801351	3.0	Neg	marking	-44	0.28	0.2422907488986784	2.009233637998477	0.318180663000021	0	0	0
554.500886992	3.0	Neg	encoding	-10	0.45	0.45374449339207046	1.759736611000335	0.3688439109992032	0	0	0
560.014899266	3.0	Neg	marking	-10	0.45	0.45374449339207046	1.759736611000335	0.3688439109992032	0	0	0
566.001418058	3.0	Neg	encoding	14	0.57	0.566079295154185	1.7622605650012702	0.32571577400085516	0	0	0
571.015360169	3.0	Neg	marking	14	0.57	0.566079295154185	1.7622605650012702	0.32571577400085516	0	0	0
577.501470136	3.0	Neg	encoding	80	0.9	0.9096916299559471	2.3060058259998186	0.40132278199962457	0	0	0
580.515784082	3.0	Neg	marking	80	0.9	0.9096916299559471	2.3060058259998186	0.40132278199962457	0	0	0
590.50230905	3.0	Neg	encoding	70	0.85	0.8303964757709251	2.1424024520001694	0.47198869599924365	0	0	0
597.016158937	3.0	Neg	marking	70	0.85	0.8303964757709251	2.1424024520001694	0.47198869599924365	0	0	0
