onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
17.503436367	3.0	Pos	encoding	7	0.07	0.0	NaN	0.45275965300061216	0	1	0
22.066847345	3.0	Pos	marking	7	0.07	0.0	NaN	0.45275965300061216	0	1	0
28.5020425	3.0	Pos	encoding	98	0.98	0.9955947136563876	2.762021852999169	0.467324926999936	0	0	0
33.00048965	3.0	Pos	marking	98	0.98	0.9955947136563876	2.762021852999169	0.467324926999936	0	0	0
39.502931745	3.0	Pos	encoding	57	0.57	0.6321585903083701	2.04570903900094	0.41611336400092114	0	0	0
45.000631477	3.0	Pos	marking	57	0.57	0.6321585903083701	2.04570903900094	0.41611336400092114	0	0	0
52.502449868	3.0	Pos	encoding	90	0.9	0.8832599118942731	2.712329273999785	0.46380819200021506	0	0	0
58.501131782	3.0	Pos	marking	90	0.9	0.8832599118942731	2.712329273999785	0.46380819200021506	0	0	0
66.003117197	3.0	Pos	encoding	65	0.65	0.6387665198237885	2.595781559999523	0.6053881009993347	0	0	0
70.001455944	3.0	Pos	marking	65	0.65	0.6387665198237885	2.595781559999523	0.6053881009993347	0	0	0
77.003381417	3.0	Pos	encoding	85	0.85	0.8303964757709251	2.5420989530011866	0.3528335690007225	0	0	0
80.501843084	3.0	Pos	marking	85	0.85	0.8303964757709251	2.5420989530011866	0.3528335690007225	0	0	0
86.503037978	3.0	Pos	encoding	21	0.21	0.0	NaN	0.814366226999482	0	0	0
90.002036458	3.0	Pos	marking	21	0.21	0.0	NaN	0.814366226999482	1	0	0
99.003265006	3.0	Pos	encoding	11	0.11	0.0	NaN	1.0988766600003146	0	1	0
102.002237498	3.0	Pos	marking	11	0.11	0.0	NaN	1.0988766600003146	0	1	0
109.502326045	3.0	Pos	encoding	3	0.03	0.0	NaN	0.44122159400103556	0	0	0
116.00261453	3.0	Pos	marking	3	0.03	0.0	NaN	0.44122159400103556	1	0	0
123.002447428	3.0	Pos	encoding	77	0.77	0.0	NaN	0.9604240850003407	0	0	0
127.002802416	3.0	Pos	marking	77	0.77	0.0	NaN	0.9604240850003407	1	0	0
137.002016852	3.0	Pos	encoding	36	0.36	0.28854625550660795	2.5114429339992057	0.7187854869989678	0	0	0
141.50322153	3.0	Pos	marking	36	0.36	0.28854625550660795	2.5114429339992057	0.7187854869989678	0	0	0
148.501353905	3.0	Pos	encoding	60	0.6	0.6651982378854625	1.8627425190006761	0.6213831090008171	0	0	0
153.50363566	3.0	Pos	marking	60	0.6	0.6651982378854625	1.8627425190006761	0.6213831090008171	0	0	0
163.002155496	3.0	Pos	encoding	45	0.45	0.36123348017621143	1.9947902309995698	0.7722055360009108	0	0	0
166.503936239	3.0	Pos	marking	45	0.45	0.36123348017621143	1.9947902309995698	0.7722055360009108	0	0	0
173.002268205	3.0	Pos	encoding	28	0.28	0.2555066079295154	2.5768443409997417	0.5815406599995185	0	0	0
176.004062071	3.0	Pos	marking	28	0.28	0.2555066079295154	2.5768443409997417	0.5815406599995185	0	0	0
182.003159986	3.0	Pos	encoding	33	0.33	0.0	NaN	0.36934314599966456	0	0	0
189.004369594	3.0	Pos	marking	33	0.33	0.0	NaN	0.36934314599966456	1	0	0
197.002558221	3.0	Pos	encoding	74	0.74	0.7577092511013216	2.878542161999576	0.5775020880009833	0	0	0
201.004748426	3.0	Pos	marking	74	0.74	0.7577092511013216	2.878542161999576	0.5775020880009833	0	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
216.002281537	3.0	Neg	encoding	80	0.9	0.0	NaN	0.5319800729994313	0	0	0
219.505506338	3.0	Neg	marking	80	0.9	0.0	NaN	0.5319800729994313	1	0	0
226.002764243	3.0	Neg	encoding	-34	0.33	0.36123348017621143	2.794385945999238	0.6178060860002006	0	0	0
232.505671268	3.0	Neg	marking	-34	0.33	0.36123348017621143	2.794385945999238	0.6178060860002006	0	0	0
240.002348677	3.0	Neg	encoding	-78	0.11	0.07048458149779736	2.6619187489995966	0.5693640530007542	0	0	0
246.006035207	3.0	Neg	marking	-78	0.11	0.07048458149779736	2.6619187489995966	0.5693640530007542	0	0	0
253.002376482	3.0	Neg	encoding	54	0.77	0.7709251101321586	2.678320345999964	0.5850013030012633	0	0	0
257.506213427	3.0	Neg	marking	54	0.77	0.7709251101321586	2.678320345999964	0.5850013030012633	0	0	0
264.003320653	3.0	Neg	encoding	96	0.98	0.0	NaN	0.4579448139993474	0	1	0
268.00646666	3.0	Neg	marking	96	0.98	0.0	NaN	0.4579448139993474	0	1	0
276.001440919	3.0	Neg	encoding	-28	0.36	0.0	NaN	0.43375310499868647	0	0	0
280.557005696	3.0	Neg	marking	-28	0.36	0.0	NaN	0.43375310499868647	1	0	0
286.502714139	3.0	Neg	encoding	-86	0.07	0.09691629955947137	2.8953360649993556	0.5575266189989634	0	0	0
289.506985201	3.0	Neg	marking	-86	0.07	0.09691629955947137	2.8953360649993556	0.5575266189989634	0	0	0
299.501670776	3.0	Neg	encoding	-94	0.03	0.0	NaN	0.5146062910007458	0	0	0
305.007458591	3.0	Neg	marking	-94	0.03	0.0	NaN	0.5146062910007458	1	0	0
311.002358743	3.0	Neg	encoding	70	0.85	0.7709251101321586	2.9782883589996345	0.5442200720008259	0	0	0
314.007688297	3.0	Neg	marking	70	0.85	0.7709251101321586	2.9782883589996345	0.5442200720008259	0	0	0
320.503443949	3.0	Neg	encoding	20	0.6	0.5925110132158591	2.229036561000612	0.45671604000017396	0	0	0
327.508162178	3.0	Neg	marking	20	0.6	0.5925110132158591	2.229036561000612	0.45671604000017396	0	0	0
335.002970347	3.0	Neg	encoding	-10	0.45	0.460352422907489	2.0106015970013686	0.527770993001468	0	0	0
339.008468328	3.0	Neg	marking	-10	0.45	0.460352422907489	2.0106015970013686	0.527770993001468	0	0	0
348.501645193	3.0	Neg	encoding	30	0.65	0.3744493392070485	2.0781661450000684	0.6182038520000788	0	1	0
353.508860786	3.0	Neg	marking	30	0.65	0.3744493392070485	2.0781661450000684	0.6182038520000788	0	1	0
360.501933914	3.0	Neg	encoding	48	0.74	0.7577092511013216	2.627809752999383	0.4172001150000142	0	0	0
365.025699551	3.0	Neg	marking	48	0.74	0.7577092511013216	2.627809752999383	0.4172001150000142	0	0	0
373.501831318	3.0	Neg	encoding	-44	0.28	0.28193832599118945	2.676925966001363	0.5242541050010914	0	0	0
377.509710923	3.0	Neg	marking	-44	0.28	0.28193832599118945	2.676925966001363	0.5242541050010914	0	0	0
384.502679775	3.0	Neg	encoding	-58	0.21	0.0	NaN	0.5222037029998319	0	0	0
388.009930057	3.0	Neg	marking	-58	0.21	0.0	NaN	0.5222037029998319	1	0	0
395.501763808	3.0	Neg	encoding	14	0.57	0.5925110132158591	2.525407755001652	0.5842086140000902	0	0	0
399.010201456	3.0	Neg	marking	14	0.57	0.5925110132158591	2.525407755001652	0.5842086140000902	0	0	0
402.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
413.501177046	3.0	Word	encoding	it	0.9	0.0	NaN	0.7668671299998095	0	1	0
417.010590697	3.0	Word	marking	it	0.9	0.0	NaN	0.7668671299998095	0	1	0
424.002170855	3.0	Word	encoding	do	0.57	0.5726872246696035	2.0589199119986006	0.4985854879996623	0	0	0
430.510899911	3.0	Word	marking	do	0.57	0.5726872246696035	2.0589199119986006	0.4985854879996623	0	0	0
439.502423862	3.0	Word	encoding	so	0.21	0.0	NaN	0.5355201639995357	0	1	0
442.511221735	3.0	Word	marking	so	0.21	0.0	NaN	0.5355201639995357	0	1	0
450.003654459	3.0	Word	encoding	as	0.6	0.0	NaN	0.4654903650007327	0	0	0
457.011807063	3.0	Word	marking	as	0.6	0.0	NaN	0.4654903650007327	1	0	0
467.097247383	3.0	Word	encoding	if	0.45	0.0	NaN	0.47137504599959357	0	1	0
471.512033824	3.0	Word	marking	if	0.45	0.0	NaN	0.47137504599959357	0	1	0
478.003707904	3.0	Word	encoding	he	0.74	0.7444933920704846	2.927771065998968	0.3615720859997964	0	0	0
482.512152697	3.0	Word	marking	he	0.74	0.7444933920704846	2.927771065998968	0.3615720859997964	0	0	0
488.501677043	3.0	Word	encoding	by	0.85	0.0	NaN	0.6334162629991624	0	0	0
492.512382397	3.0	Word	marking	by	0.85	0.0	NaN	0.6334162629991624	1	0	0
500.001836507	3.0	Word	encoding	me	0.03	0.011013215859030838	2.27336706800088	0.48796185800165404	0	0	0
504.512847367	3.0	Word	marking	me	0.03	0.011013215859030838	2.27336706800088	0.48796185800165404	0	0	0
511.502779726	3.0	Word	encoding	my	0.65	0.0	NaN	0.6003475720008282	0	0	0
515.013153913	3.0	Word	marking	my	0.65	0.0	NaN	0.6003475720008282	1	0	0
521.502472969	3.0	Word	encoding	or	0.36	0.35462555066079293	2.147456411001258	0.4199500690010609	0	0	0
527.530135022	3.0	Word	marking	or	0.36	0.35462555066079293	2.147456411001258	0.4199500690010609	0	0	0
534.501802888	3.0	Word	encoding	be	0.28	0.28193832599118945	2.316878240000733	0.42686578900065797	0	0	0
539.51382406	3.0	Word	marking	be	0.28	0.28193832599118945	2.316878240000733	0.42686578900065797	0	0	0
549.002184072	3.0	Word	encoding	we	0.07	0.0	NaN	0.5183433269994566	0	1	0
552.871110927	3.0	Word	marking	we	0.07	0.0	NaN	0.5183433269994566	0	1	0
560.002482786	3.0	Word	encoding	is	0.33	0.34801762114537443	2.456344566999178	0.5678281740001694	0	0	0
564.014416954	3.0	Word	marking	is	0.33	0.34801762114537443	2.456344566999178	0.5678281740001694	0	0	0
570.003408264	3.0	Word	encoding	ox	0.11	0.0	NaN	0.36594615600006364	0	0	0
574.01467781	3.0	Word	marking	ox	0.11	0.0	NaN	0.36594615600006364	1	0	0
582.001660124	3.0	Word	encoding	of	0.98	0.9691629955947136	2.312635685000714	0.45622549900144804	0	0	0
585.01498063	3.0	Word	marking	of	0.98	0.9691629955947136	2.312635685000714	0.45622549900144804	0	0	0
591.503033636	3.0	Word	encoding	am	0.77	0.751101321585903	2.362619823001296	0.4008917380015191	0	0	0
597.015167773	3.0	Word	marking	am	0.77	0.751101321585903	2.362619823001296	0.4008917380015191	0	0	0
