onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
15.501941936	3.0	Neg	encoding	14	0.57	0.5594713656387665	2.209402577000219	0.3939657539995096	0	0	0
19.502430923	3.0	Neg	marking	14	0.57	0.5594713656387665	2.209402577000219	0.3939657539995096	0	0	0
26.50195112	3.0	Neg	encoding	20	0.6	0.0	NaN	0.42228044500006945	0	0	0
32.536054648	3.0	Neg	marking	20	0.6	0.0	NaN	0.42228044500006945	1	0	0
39.001108047	3.0	Neg	encoding	-10	0.45	0.44052863436123346	2.9475310990001162	0.5515100500015251	0	0	0
42.502932581	3.0	Neg	marking	-10	0.45	0.44052863436123346	2.9475310990001162	0.5515100500015251	0	0	0
49.001695539	3.0	Neg	encoding	-28	0.36	0.4008810572687225	2.679136348000611	0.5400704630010296	0	0	0
52.003156249	3.0	Neg	marking	-28	0.36	0.4008810572687225	2.679136348000611	0.5400704630010296	0	0	0
59.00277813	3.0	Neg	encoding	54	0.77	0.7709251101321586	2.6584707609999896	0.4310582259986404	0	0	0
64.503690405	3.0	Neg	marking	54	0.77	0.7709251101321586	2.6584707609999896	0.4310582259986404	0	0	0
70.502731976	3.0	Neg	encoding	48	0.74	0.7444933920704846	2.2093580609998753	0.4276570919992082	0	0	0
77.920598966	3.0	Neg	marking	48	0.74	0.7444933920704846	2.2093580609998753	0.4276570919992082	0	0	0
86.003163719	3.0	Neg	encoding	80	0.9	0.9096916299559471	2.642612434001421	0.3739009900000383	0	0	0
89.004293903	3.0	Neg	marking	80	0.9	0.9096916299559471	2.642612434001421	0.3739009900000383	0	0	0
96.501529376	3.0	Neg	encoding	70	0.85	0.0	NaN	0.5255255410011159	0	0	0
100.004637257	3.0	Neg	marking	70	0.85	0.0	NaN	0.5255255410011159	1	0	0
107.503003888	3.0	Neg	encoding	-44	0.28	0.2687224669603524	2.2789613749991986	0.5223484910002298	0	0	0
111.504757718	3.0	Neg	marking	-44	0.28	0.2687224669603524	2.2789613749991986	0.5223484910002298	0	0	0
118.502650095	3.0	Neg	encoding	-78	0.11	0.0	NaN	0.3878848919994198	0	0	0
122.005147283	3.0	Neg	marking	-78	0.11	0.0	NaN	0.3878848919994198	1	0	0
128.001025469	3.0	Neg	encoding	30	0.65	0.5991189427312775	1.9960646489998908	0.45032687800085114	0	0	0
133.021977844	3.0	Neg	marking	30	0.65	0.5991189427312775	1.9960646489998908	0.45032687800085114	0	0	0
142.001685917	3.0	Neg	encoding	-34	0.33	0.0	NaN	0.34939082200071425	0	0	0
146.50564645	3.0	Neg	marking	-34	0.33	0.0	NaN	0.34939082200071425	1	0	0
154.002444931	3.0	Neg	encoding	-94	0.03	0.05066079295154185	2.4680992049998167	0.41793294200033415	0	0	0
160.506038266	3.0	Neg	marking	-94	0.03	0.05066079295154185	2.4680992049998167	0.41793294200033415	0	0	0
170.502439085	3.0	Neg	encoding	-86	0.07	0.0	NaN	0.4597362750009779	0	1	0
175.006371526	3.0	Neg	marking	-86	0.07	0.0	NaN	0.4597362750009779	0	1	0
184.503284825	3.0	Neg	encoding	-58	0.21	0.2026431718061674	2.11193842800094	0.3903709250007523	0	0	0
189.006785296	3.0	Neg	marking	-58	0.21	0.2026431718061674	2.11193842800094	0.3903709250007523	0	0	0
197.001182093	3.0	Neg	encoding	96	0.98	0.9823788546255506	2.445189138999922	0.41981668299922603	0	0	0
