onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
16.001895054	3.0	Neg	encoding	-86	0.07	0.09691629955947137	2.2714700469996387	0.553666568999688	0	0	0
22.001169896	3.0	Neg	marking	-86	0.07	0.09691629955947137	2.2714700469996387	0.553666568999688	0	0	0
29.502707688	3.0	Neg	encoding	80	0.9	0.8964757709251101	2.277990311999929	0.6185478349998448	0	0	0
35.001436309	3.0	Neg	marking	80	0.9	0.8964757709251101	2.277990311999929	0.6185478349998448	0	0	0
44.004729753	3.0	Neg	encoding	-78	0.11	0.13656387665198239	2.5214234599998235	0.6289592789999006	0	0	0
47.506113002	3.0	Neg	marking	-78	0.11	0.13656387665198239	2.5214234599998235	0.6289592789999006	0	0	0
57.004759606	3.0	Neg	encoding	-34	0.33	0.0	NaN	0.582035315000212	0	0	0
61.502059992	3.0	Neg	marking	-34	0.33	0.0	NaN	0.582035315000212	1	0	0
68.505584219	3.0	Neg	encoding	30	0.65	0.0	NaN	0.6488561040005152	0	0	0
72.019105626	3.0	Neg	marking	30	0.65	0.0	NaN	0.6488561040005152	1	0	0
79.504713772	3.0	Neg	encoding	14	0.57	0.0	NaN	0.572366917999716	0	0	0
83.502691747	3.0	Neg	marking	14	0.57	0.0	NaN	0.572366917999716	1	0	0
92.002582322	3.0	Neg	encoding	48	0.74	0.7180616740088106	2.14780625900039	0.6189321920001021	0	0	0
95.002863524	3.0	Neg	marking	48	0.74	0.7180616740088106	2.14780625900039	0.6189321920001021	0	0	0
105.005418635	3.0	Neg	encoding	-28	0.36	0.36123348017621143	2.001385499999742	0.523241312999744	0	0	0
108.01124959	3.0	Neg	marking	-28	0.36	0.36123348017621143	2.001385499999742	0.523241312999744	0	0	0
114.00281782	3.0	Neg	encoding	54	0.77	0.724669603524229	2.392682751999928	0.47074437300034333	0	0	0
120.503641658	3.0	Neg	marking	54	0.77	0.724669603524229	2.392682751999928	0.47074437300034333	0	0	0
128.002001896	3.0	Neg	encoding	-10	0.45	0.42070484581497797	1.8589946379997855	0.5066912319998664	0	0	0
132.004060131	3.0	Neg	marking	-10	0.45	0.42070484581497797	1.8589946379997855	0.5066912319998664	0	0	0
138.003067759	3.0	Neg	encoding	96	0.98	1.0	2.210897130000376	0.6145832590000282	0	0	0
141.504246134	3.0	Neg	marking	96	0.98	1.0	2.210897130000376	0.6145832590000282	0	0	0
148.501820814	3.0	Neg	encoding	-94	0.03	0.037444933920704845	2.494423736000499	0.49636637799994787	0	0	0
152.504536977	3.0	Neg	marking	-94	0.03	0.037444933920704845	2.494423736000499	0.49636637799994787	0	0	0
159.001827709	3.0	Neg	encoding	-58	0.21	0.2488986784140969	1.950920779999251	0.3839526069996282	0	0	0
166.00505888	3.0	Neg	marking	-58	0.21	0.2488986784140969	1.950920779999251	0.3839526069996282	0	0	0
172.504029977	3.0	Neg	encoding	70	0.85	0.8303964757709251	2.511103630999969	0.5311681990006036	0	0	0
177.005223625	3.0	Neg	marking	70	0.85	0.8303964757709251	2.511103630999969	0.5311681990006036	0	0	0
185.001635503	3.0	Neg	encoding	20	0.6	0.6189427312775331	1.6280053860000407	0.5007984679996298	0	0	0
190.005523076	3.0	Neg	marking	20	0.6	0.6189427312775331	1.6280053860000407	0.5007984679996298	0	0	0
196.502259312	3.0	Neg	encoding	-44	0.28	0.0	NaN	0.6360988400001588	0	0	0
201.005970639	3.0	Neg	marking	-44	0.28	0.0	NaN	0.6360988400001588	1	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
214.503464609	3.0	Pos	encoding	28	0.28	0.15638766519823788	2.676130105000084	0.7417769229996338	0	1	0
217.506423196	3.0	Pos	marking	28	0.28	0.15638766519823788	2.676130105000084	0.7417769229996338	0	1	0
224.002105718	3.0	Pos	encoding	21	0.21	0.2092511013215859	2.259012686999995	0.45019788999979937	0	0	0
230.506817674	3.0	Pos	marking	21	0.21	0.2092511013215859	2.259012686999995	0.45019788999979937	0	0	0
236.503031982	3.0	Pos	encoding	57	0.57	0.0	NaN	1.4828575120000096	0	0	0
240.006929748	3.0	Pos	marking	57	0.57	0.0	NaN	1.4828575120000096	1	0	0
246.001539645	3.0	Pos	encoding	11	0.11	0.0	NaN	0.4815084680003565	0	0	0
249.508728602	3.0	Pos	marking	11	0.11	0.0	NaN	0.4815084680003565	1	0	0
257.501838297	3.0	Pos	encoding	77	0.77	0.751101321585903	2.3092510569995284	0.5223952589994951	0	0	0
260.507601513	3.0	Pos	marking	77	0.77	0.751101321585903	2.3092510569995284	0.5223952589994951	0	0	0
268.003295638	3.0	Pos	encoding	85	0.85	0.8634361233480177	2.0767834389998825	0.47632089400030964	0	0	0
274.007851817	3.0	Pos	marking	85	0.85	0.8634361233480177	2.0767834389998825	0.47632089400030964	0	0	0
282.50443673	3.0	Pos	encoding	33	0.33	0.33480176211453744	2.200472768000509	0.5488998060000085	0	0	0
287.00832792	3.0	Pos	marking	33	0.33	0.33480176211453744	2.200472768000509	0.5488998060000085	0	0	0
294.003014658	3.0	Pos	encoding	90	0.9	0.8436123348017621	2.1659157409994805	0.5365020039998853	0	0	0
297.508454136	3.0	Pos	marking	90	0.9	0.8436123348017621	2.1659157409994805	0.5365020039998853	0	0	0
304.503160611	3.0	Pos	encoding	3	0.03	0.0	1.9821493300005386	0.5832828239999799	0	0	0
309.008886212	3.0	Pos	marking	3	0.03	0.0	1.9821493300005386	0.5832828239999799	0	0	0
315.502282771	3.0	Pos	encoding	7	0.07	0.004405286343612335	2.973415388999456	0.5693725060000361	0	0	0
319.511701521	3.0	Pos	marking	7	0.07	0.004405286343612335	2.973415388999456	0.5693725060000361	0	0	0
327.002443744	3.0	Pos	encoding	98	0.98	1.0	2.0423123729997315	0.6015493029999561	0	0	0
332.509538849	3.0	Pos	marking	98	0.98	1.0	2.0423123729997315	0.6015493029999561	0	0	0
339.004080268	3.0	Pos	encoding	45	0.45	0.0	NaN	0.8910778469999059	0	0	0
343.009777274	3.0	Pos	marking	45	0.45	0.0	NaN	0.8910778469999059	1	0	0
353.003720498	3.0	Pos	encoding	60	0.6	0.0	NaN	0.4631681110004138	0	0	0
357.510049399	3.0	Pos	marking	60	0.6	0.0	NaN	0.4631681110004138	1	0	0
366.505853337	3.0	Pos	encoding	65	0.65	0.5991189427312775	2.1087659650002024	0.637047082999743	0	0	0
