onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
15.002010242	3.0	Word	encoding	it	0.21	0.2092511013215859	2.377798346000418	0.5083272880001459	0	0	0
21.510343701	3.0	Word	marking	it	0.21	0.2092511013215859	2.377798346000418	0.5083272880001459	0	0	0
31.502553485	3.0	Word	encoding	he	0.65	0.0	NaN	0.7058494220000284	0	0	0
36.033322683	3.0	Word	marking	he	0.65	0.0	NaN	0.7058494220000284	1	0	0
42.501988924	3.0	Word	encoding	or	0.33	0.33480176211453744	1.9075043459997687	0.5540883339999709	0	0	0
47.015303205	3.0	Word	marking	or	0.33	0.33480176211453744	1.9075043459997687	0.5540883339999709	0	0	0
54.504936225	3.0	Word	encoding	by	0.03	0.0	NaN	1.40956307200031	0	1	0
58.019526619	3.0	Word	marking	by	0.03	0.0	NaN	1.40956307200031	0	1	0
67.00367983	3.0	Word	encoding	me	0.98	0.9823788546255506	2.742922876999728	0.6292505169994911	0	0	0
70.511789032	3.0	Word	marking	me	0.98	0.9823788546255506	2.742922876999728	0.6292505169994911	0	0	0
77.502424976	3.0	Word	encoding	is	0.36	0.35462555066079293	1.8926029969998126	0.5309966489994622	0	0	0
80.512078158	3.0	Word	marking	is	0.36	0.35462555066079293	1.8926029969998126	0.5309966489994622	0	0	0
87.005163245	3.0	Word	encoding	as	0.28	0.30176211453744495	2.0098157570000694	0.49421643700043205	0	0	0
91.512297125	3.0	Word	marking	as	0.28	0.30176211453744495	2.0098157570000694	0.49421643700043205	0	0	0
101.003922507	3.0	Word	encoding	ox	0.9	0.8898678414096917	2.2260343130001274	0.6311804560000382	0	0	0
104.512791076	3.0	Word	marking	ox	0.9	0.8898678414096917	2.2260343130001274	0.6311804560000382	0	0	0
111.502281416	3.0	Word	encoding	be	0.07	0.05066079295154185	1.7659540200002084	0.39310399499936466	0	0	0
117.012830419	3.0	Word	marking	be	0.07	0.05066079295154185	1.7659540200002084	0.39310399499936466	0	0	0
123.004148257	3.0	Word	encoding	we	0.85	0.0	NaN	0.4028226889995494	0	0	0
129.000661813	3.0	Word	marking	we	0.85	0.0	NaN	0.4028226889995494	1	0	0
136.503448973	3.0	Word	encoding	do	0.57	0.0	NaN	0.5257179589998486	0	0	0
140.521544058	3.0	Word	marking	do	0.57	0.0	NaN	0.5257179589998486	1	0	0
149.004126037	3.0	Word	encoding	my	0.11	0.11013215859030837	2.101832285000455	0.4658861010002511	0	0	0
154.013983961	3.0	Word	marking	my	0.11	0.11013215859030837	2.101832285000455	0.4658861010002511	0	0	0
161.00336567	3.0	Word	encoding	of	0.74	0.7444933920704846	2.127157814000384	0.5850372909999351	0	0	0
168.005585609	3.0	Word	marking	of	0.74	0.7444933920704846	2.127157814000384	0.5850372909999351	0	0	0
176.005691511	3.0	Word	encoding	if	0.6	0.0	NaN	0.5270794770003704	0	0	0
180.020898953	3.0	Word	marking	if	0.6	0.0	NaN	0.5270794770003704	1	0	0
186.504146209	3.0	Word	encoding	am	0.77	0.7444933920704846	2.3584017549992495	0.5815886739992493	0	0	0
189.500828381	3.0	Word	marking	am	0.77	0.7444933920704846	2.3584017549992495	0.5815886739992493	0	0	0
197.001659649	3.0	Word	encoding	so	0.45	0.44052863436123346	1.7532411590000265	0.5821426379998229	0	0	0
201.004792523	3.0	Word	marking	so	0.45	0.44052863436123346	1.7532411590000265	0.5821426379998229	0	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
214.504785612	3.0	Pos	encoding	85	0.85	0.8436123348017621	2.192058497000289	0.5474947579996297	0	0	0
218.025796276	3.0	Pos	marking	85	0.85	0.8436123348017621	2.192058497000289	0.5474947579996297	0	0	0
225.504618448	3.0	Pos	encoding	21	0.21	0.0	NaN	0.3535133900004439	0	0	0
231.516047867	3.0	Pos	marking	21	0.21	0.0	NaN	0.3535133900004439	1	0	0
238.50307965	3.0	Pos	encoding	33	0.33	0.2687224669603524	2.4424939040000027	0.8312555970005633	0	0	0
242.516477698	3.0	Pos	marking	33	0.33	0.2687224669603524	2.4424939040000027	0.8312555970005633	0	0	0
251.502419914	3.0	Pos	encoding	90	0.9	0.0	NaN	0.5703851240004951	0	0	0
256.000084209	3.0	Pos	marking	90	0.9	0.0	NaN	0.5703851240004951	1	0	0
262.502159482	3.0	Pos	encoding	7	0.07	0.0	NaN	0.36593005299982906	0	0	0
268.000277012	3.0	Pos	marking	7	0.07	0.0	NaN	0.36593005299982906	1	0	0
277.504419608	3.0	Pos	encoding	11	0.11	0.08370044052863436	2.0928725640005723	0.37288254700069956	0	0	0
284.000937807	3.0	Pos	marking	11	0.11	0.08370044052863436	2.0928725640005723	0.37288254700069956	0	0	0
290.004049856	3.0	Pos	encoding	65	0.65	0.0	NaN	0.46208295799988264	0	0	0
295.001147884	3.0	Pos	marking	65	0.65	0.0	NaN	0.46208295799988264	1	0	0
302.001754959	3.0	Pos	encoding	57	0.57	0.5726872246696035	2.2654008700001214	0.5050611449996723	0	0	0
309.001615765	3.0	Pos	marking	57	0.57	0.5726872246696035	2.2654008700001214	0.5050611449996723	0	0	0
315.501888298	3.0	Pos	encoding	28	0.28	0.2290748898678414	2.329566229000193	0.6681205200002296	0	0	0
319.50164349	3.0	Pos	marking	28	0.28	0.2290748898678414	2.329566229000193	0.6681205200002296	0	0	0
325.504557128	3.0	Pos	encoding	3	0.03	0.004405286343612335	2.741306617000191	0.6045894130002125	0	0	0
329.02880603	3.0	Pos	marking	3	0.03	0.004405286343612335	2.741306617000191	0.6045894130002125	0	0	0
336.502928529	3.0	Pos	encoding	36	0.36	0.0	NaN	2.349072551000063	0	1	0
341.023439875	3.0	Pos	marking	36	0.36	0.0	NaN	2.349072551000063	0	1	0
349.502039816	3.0	Pos	encoding	45	0.45	0.45374449339207046	1.7761413259995606	0.6671460600000501	0	0	0
353.50270616	3.0	Pos	marking	45	0.45	0.45374449339207046	1.7761413259995606	0.6671460600000501	0	0	0
360.502279424	3.0	Pos	encoding	77	0.77	0.8237885462555066	2.2762639190004847	0.6281667700004618	0	0	0
363.502928183	3.0	Pos	marking	77	0.77	0.8237885462555066	2.2762639190004847	0.6281667700004618	0	0	0
371.503037618	3.0	Pos	encoding	74	0.74	0.7048458149779736	2.2364963199997874	0.472364295999796	0	0	0
376.003281387	3.0	Pos	marking	74	0.74	0.7048458149779736	2.2364963199997874	0.472364295999796	0	0	0
382.503511684	3.0	Pos	encoding	60	0.6	0.5859030837004405	2.1880307030005497	0.745388407000064	0	0	0
386.003754472	3.0	Pos	marking	60	0.6	0.5859030837004405	2.1880307030005497	0.745388407000064	0	0	0
396.004118771	3.0	Pos	encoding	98	0.98	0.9889867841409692	2.1758459239999866	0.5077311320001172	0	0	0
399.003999896	3.0	Pos	marking	98	0.98	0.9889867841409692	2.1758459239999866	0.5077311320001172	0	0	0
402.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
413.003454088	3.0	Neg	encoding	54	0.77	0.751101321585903	1.7936557680004626	0.49129604600057064	0	0	0
418.004434286	3.0	Neg	marking	54	0.77	0.751101321585903	1.7936557680004626	0.49129604600057064	0	0	0
424.501617161	3.0	Neg	encoding	30	0.65	0.6255506607929515	2.1924562879994483	0.620990313999755	0	0	0
428.504715738	3.0	Neg	marking	30	0.65	0.6255506607929515	2.1924562879994483	0.620990313999755	0	0	0
436.002133071	3.0	Neg	encoding	-10	0.45	0.44713656387665196	1.8610778330003086	0.5354490970003098	0	0	0
440.005057396	3.0	Neg	marking	-10	0.45	0.44713656387665196	1.8610778330003086	0.5354490970003098	0	0	0
448.503288436	3.0	Neg	encoding	80	0.9	0.9295154185022027	1.9587636500000372	0.4345829550002236	0	0	0
455.505581874	3.0	Neg	marking	80	0.9	0.9295154185022027	1.9587636500000372	0.4345829550002236	0	0	0
463.001862814	3.0	Neg	encoding	96	0.98	0.9361233480176211	2.1779158729996198	0.637048443999447	0	0	0
466.505602999	3.0	Neg	marking	96	0.98	0.9361233480176211	2.1779158729996198	0.637048443999447	0	0	0
473.002395916	3.0	Neg	encoding	14	0.57	0.539647577092511	1.8771899949997533	0.4927743179996469	0	0	0
477.005889508	3.0	Neg	marking	14	0.57	0.539647577092511	1.8771899949997533	0.4927743179996469	0	0	0
487.004049461	3.0	Neg	encoding	-94	0.03	0.0	NaN	0.4350863119998394	0	0	0
493.006626666	3.0	Neg	marking	-94	0.03	0.0	NaN	0.4350863119998394	1	0	0
500.002926998	3.0	Neg	encoding	-34	0.33	0.35462555066079293	2.4113800470004207	0.6922493110005234	0	0	0
503.006738882	3.0	Neg	marking	-34	0.33	0.35462555066079293	2.4113800470004207	0.6922493110005234	0	0	0
509.501954644	3.0	Neg	encoding	70	0.85	0.7775330396475771	2.240241299000445	0.6475713899999391	0	0	0
514.026315391	3.0	Neg	marking	70	0.85	0.7775330396475771	2.240241299000445	0.6475713899999391	0	0	0
521.005494075	3.0	Neg	encoding	-78	0.11	0.1762114537444934	2.2215654339997855	0.5048669939997126	0	0	0
525.511725114	3.0	Neg	marking	-78	0.11	0.1762114537444934	2.2215654339997855	0.5048669939997126	0	0	0
535.00410311	3.0	Neg	encoding	-58	0.21	0.0	NaN	0.5523754910000207	0	0	0
540.507704881	3.0	Neg	marking	-58	0.21	0.0	NaN	0.5523754910000207	1	0	0
547.503111297	3.0	Neg	encoding	20	0.6	0.0	NaN	0.5224123609996241	0	0	0
552.007902748	3.0	Neg	marking	20	0.6	0.0	NaN	0.5224123609996241	1	0	0
561.003041026	3.0	Neg	encoding	-44	0.28	0.2555066079295154	2.1778459600000133	0.48814739499994175	0	0	0
567.508425803	3.0	Neg	marking	-44	0.28	0.2555066079295154	2.1778459600000133	0.48814739499994175	0	0	0
