onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
15.00397299	3.0	Pos	encoding	98	0.98	0.8898678414096917	2.544819440001447	0.5541695110005094	0	0	0
19.505444581	3.0	Pos	marking	98	0.98	0.8898678414096917	2.544819440001447	0.5541695110005094	0	0	0
26.006546375	3.0	Pos	encoding	21	0.21	0.0	NaN	0.34062833700045303	0	0	0
32.503527693	3.0	Pos	marking	21	0.21	0.0	NaN	0.34062833700045303	1	0	0
41.505765022	3.0	Pos	encoding	65	0.65	0.539647577092511	2.338635415999306	0.7877299869996932	0	1	0
45.514529433	3.0	Pos	marking	65	0.65	0.539647577092511	2.338635415999306	0.7877299869996932	0	1	0
52.501938747	3.0	Pos	encoding	74	0.74	0.0	NaN	0.8595020520006074	0	1	0
55.514853132	3.0	Pos	marking	74	0.74	0.0	NaN	0.8595020520006074	0	1	0
64.003269686	3.0	Pos	encoding	28	0.28	0.29515418502202645	1.974652139999307	0.330954622999343	0	0	0
68.015187663	3.0	Pos	marking	28	0.28	0.29515418502202645	1.974652139999307	0.330954622999343	0	0	0
75.505455194	3.0	Pos	encoding	77	0.77	0.0	NaN	0.7098614129990892	0	0	0
79.042566581	3.0	Pos	marking	77	0.77	0.0	NaN	0.7098614129990892	1	0	0
85.50487089	3.0	Pos	encoding	36	0.36	0.394273127753304	1.6073565730002883	0.41444059100103914	0	0	0
89.015765351	3.0	Pos	marking	36	0.36	0.394273127753304	1.6073565730002883	0.41444059100103914	0	0	0
96.003977857	3.0	Pos	encoding	57	0.57	0.566079295154185	2.2578168920008466	0.3497326470005646	0	0	0
102.01626528	3.0	Pos	marking	57	0.57	0.566079295154185	2.2578168920008466	0.3497326470005646	0	0	0
109.503589463	3.0	Pos	encoding	33	0.33	0.0	NaN	0.5652240920007898	0	0	0
114.016506239	3.0	Pos	marking	33	0.33	0.0	NaN	0.5652240920007898	1	0	0
124.005360554	3.0	Pos	encoding	11	0.11	0.13656387665198239	2.889315094000267	0.35484901900053956	0	0	0
129.500339547	3.0	Pos	marking	11	0.11	0.13656387665198239	2.889315094000267	0.35484901900053956	0	0	0
135.503082564	3.0	Pos	encoding	3	0.03	0.037444933920704845	2.357474768999964	0.44204703599825734	0	0	0
140.000524516	3.0	Pos	marking	3	0.03	0.037444933920704845	2.357474768999964	0.44204703599825734	0	0	0
146.504341309	3.0	Pos	encoding	60	0.6	0.0	NaN	0.8394873140005075	0	0	0
149.500966512	3.0	Pos	marking	60	0.6	0.0	NaN	0.8394873140005075	1	0	0
157.502330377	3.0	Pos	encoding	90	0.9	0.0	NaN	0.6333851340004912	0	1	0
161.517906532	3.0	Pos	marking	90	0.9	0.0	NaN	0.6333851340004912	0	1	0
169.005821698	3.0	Pos	encoding	7	0.07	0.09691629955947137	2.6911555900005624	0.30028837800091424	0	0	0
176.001644947	3.0	Pos	marking	7	0.07	0.09691629955947137	2.6911555900005624	0.30028837800091424	0	0	0
183.005297998	3.0	Pos	encoding	85	0.85	0.9030837004405287	2.109608175998801	0.4637057059990184	0	0	0
188.001856687	3.0	Pos	marking	85	0.85	0.9030837004405287	2.109608175998801	0.4637057059990184	0	0	0
197.505700748	3.0	Pos	encoding	45	0.45	0.4801762114537445	2.175018062000163	0.6841737670001748	0	0	0
201.029031472	3.0	Pos	marking	45	0.45	0.4801762114537445	2.175018062000163	0.6841737670001748	0	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
213.005814402	3.0	Neg	encoding	48	0.74	0.711453744493392	1.9497145019995514	0.5774384880005528	0	0	0
217.502610842	3.0	Neg	marking	48	0.74	0.711453744493392	1.9497145019995514	0.5774384880005528	0	0	0
223.503346149	3.0	Neg	encoding	30	0.65	0.0	NaN	0.5495047160002287	0	0	0
