onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
16.501537926	3.0	Pos	encoding	98	0.98	0.9955947136563876	2.4590902510008164	0.39945838499988895	0	0	0
21.001651653	3.0	Pos	marking	98	0.98	0.9955947136563876	2.4590902510008164	0.39945838499988895	0	0	0
29.001480318	3.0	Pos	encoding	85	0.85	0.8568281938325991	2.2122935639999923	0.3444880129991361	0	0	0
34.001807669	3.0	Pos	marking	85	0.85	0.8568281938325991	2.2122935639999923	0.3444880129991361	0	0	0
41.502880112	3.0	Pos	encoding	57	0.57	0.5991189427312775	1.5449140220007394	0.35555998100062425	0	0	0
45.501976433	3.0	Pos	marking	57	0.57	0.5991189427312775	1.5449140220007394	0.35555998100062425	0	0	0
54.001933709	3.0	Pos	encoding	7	0.07	0.0	NaN	0.3001787590001186	0	0	0
61.00262717	3.0	Pos	marking	7	0.07	0.0	NaN	0.3001787590001186	1	0	0
68.002949287	3.0	Pos	encoding	65	0.65	0.6453744493392071	1.7955568019988277	0.46565382199878513	0	0	0
71.502826714	3.0	Pos	marking	65	0.65	0.6453744493392071	1.7955568019988277	0.46565382199878513	0	0	0
78.502335438	3.0	Pos	encoding	90	0.9	0.0	NaN	0.4110224520009069	0	0	0
82.503155702	3.0	Pos	marking	90	0.9	0.0	NaN	0.4110224520009069	1	0	0
91.502855569	3.0	Pos	encoding	45	0.45	0.42731277533039647	1.5958839120012271	0.424907519000044	0	0	0
94.503477312	3.0	Pos	marking	45	0.45	0.42731277533039647	1.5958839120012271	0.424907519000044	0	0	0
100.503825649	3.0	Pos	encoding	77	0.77	0.0	NaN	0.43556658499983314	0	0	0
104.503529049	3.0	Pos	marking	77	0.77	0.0	NaN	0.43556658499983314	1	0	0
111.001812621	3.0	Pos	encoding	36	0.36	0.0	NaN	0.4731732979998924	0	1	0
114.504048376	3.0	Pos	marking	36	0.36	0.0	NaN	0.4731732979998924	0	1	0
121.003026092	3.0	Pos	encoding	74	0.74	0.724669603524229	1.845175663000191	0.48846856800082605	0	0	0
124.504320943	3.0	Pos	marking	74	0.74	0.724669603524229	1.845175663000191	0.48846856800082605	0	0	0
132.00254026	3.0	Pos	encoding	21	0.21	0.0	NaN	0.39625697799965565	0	0	0
136.504648145	3.0	Pos	marking	21	0.21	0.0	NaN	0.39625697799965565	1	0	0
143.001718563	3.0	Pos	encoding	28	0.28	0.2488986784140969	1.8626082080008928	0.5796128120000503	0	0	0
149.004728945	3.0	Pos	marking	28	0.28	0.2488986784140969	1.8626082080008928	0.5796128120000503	0	0	0
